,sigla,prerrequisitos,relacion_prerreq_rest,restricciones,equivalencias
961,MGC1000,No tiene,No tiene,No tiene,No tiene
962,MFN1040,No tiene,No tiene,No tiene,No tiene
963,MFN1020,No tiene,No tiene,No tiene,No tiene
964,MFN1000,No tiene,No tiene,No tiene,No tiene
965,MFA1040,No tiene,No tiene,No tiene,No tiene
966,MFA1020,No tiene,No tiene,No tiene,No tiene
967,MFA1000,No tiene,No tiene,No tiene,No tiene
968,MEU1040,No tiene,No tiene,No tiene,No tiene
969,MEU1020,No tiene,No tiene,No tiene,No tiene
970,MEU1000,No tiene,No tiene,No tiene,No tiene
971,MET3002,No tiene,No tiene,No tiene,No tiene
972,MET301A,BIO135T,y, (Escuela = Ciencias de la Salud),No tiene
973,MET3000,No tiene,No tiene,No tiene,No tiene
974,MET101A,No tiene,No tiene, (Escuela = Ciencias de la Salud),No tiene
975,MET102A,No tiene,No tiene, (Escuela = Ciencias de la Salud),No tiene
976,MER3003,No tiene,No tiene,No tiene,No tiene
977,MER3002,No tiene,No tiene,No tiene,No tiene
978,MER3001,No tiene,No tiene,No tiene,No tiene
979,MER1020,No tiene,No tiene,No tiene,No tiene
980,MER1000,No tiene,No tiene,No tiene,No tiene
981,MEP3002,No tiene,No tiene,No tiene,No tiene
982,MEP3000,No tiene,No tiene,No tiene,No tiene
983,MEN402A,(MEN303A),No tiene,No tiene,No tiene
984,MEN302A,IIQ2603 o IIQ2642,No tiene,No tiene,No tiene
985,MEN202A,(BIO135N),No tiene,No tiene,No tiene
986,MEN204C,(MEN202A),No tiene,No tiene,(MEN204B)
987,MEN201A,MAT1023 o MAT1013 o MAT1033 o MAT210E,No tiene,No tiene,(MEF103A o MEK201A)
988,MEN1020,No tiene,No tiene,No tiene,No tiene
989,MEN101A,No tiene,No tiene,No tiene,No tiene
990,MEN1000,No tiene,No tiene,No tiene,No tiene
991,MEM3032,No tiene,No tiene, ((Programa = Pt Anestesiologia) o (Programa = Pt En Neurocirugia) o (Programa = Pt Medicina Nuclear) o (Programa = Pt Medic Intens Adul)),No tiene
992,MEM3013,No tiene,No tiene,No tiene,No tiene
